Season,Date,Game Type,Team,Opponent,Arena,City,State,Attendance,game_date,attendance
2018,"August 14, 2018",Regular season,Los Angeles Sparks,New York Liberty,Staples Center,Los Angeles,CA,11067,2018-08-14,11067
2018,"August 15, 2018",Regular season,Indiana Fever,Washington Mystics,Bankers Life Fieldhouse,Indianapolis,IN,7636,2018-08-15,7636
2018,"August 15, 2018",Regular season,Las Vegas Aces,New York Liberty,Mandalay Bay Events Center,Las Vegas,NV,7159,2018-08-15,7159
2018,"August 17, 2018",Regular season,Connecticut Sun,Minnesota Lynx,Mohegan Sun Arena,Uncasville,CT,7089,2018-08-17,7089
2018,"August 17, 2018",Regular season,Washington Mystics,Los Angeles Sparks,Capital One Arena,Washington,DC,7400,2018-08-17,7400
2018,"August 17, 2018",Regular season,Dallas Wings,Las Vegas Aces,College Park Center,Arlington,TX,6209,2018-08-17,6209
2018,"August 17, 2018",Regular season,Phoenix Mercury,Atlanta Dream,Talking Stick Resort Arena,Phoenix,AZ,11177,2018-08-17,11177
2018,"August 17, 2018",Regular season,Seattle Storm,New York Liberty,KeyArena,Seattle,WA,10873,2018-08-17,10873
2018,"August 18, 2018",Regular season,Indiana Fever,Chicago Sky,Bankers Life Fieldhouse,Indianapolis,IN,8442,2018-08-18,8442
2018,"August 19, 2018",Regular season,Connecticut Sun,Los Angeles Sparks,Mohegan Sun Arena,Uncasville,CT,8040,2018-08-19,8040
2018,"August 19, 2018",Regular season,Las Vegas Aces,Atlanta Dream,Mandalay Bay Events Center,Las Vegas,NV,5737,2018-08-19,5737
2018,"August 19, 2018",Regular season,Phoenix Mercury,New York Liberty,Talking Stick Resort Arena,Phoenix,AZ,13106,2018-08-19,13106
2018,"August 19, 2018",Regular season,Chicago Sky,Indiana Fever,Wintrust Arena,Chicago,IL,7118,2018-08-19,7118
2018,"August 19, 2018",Regular season,Seattle Storm,Dallas Wings,KeyArena,Seattle,WA,12574,2018-08-19,12574
2018,"August 19, 2018",Regular season,Minnesota Lynx,Washington Mystics,Target Center,Minneapolis,MN,13013,2018-08-19,13013
2019,"May 24, 2019",Regular season,Atlanta Dream,Dallas Wings,State Farm Arena,Atlanta,GA,3070,2019-05-24,3070
