".rownames","attendance","rolling_wins_44","dow","month","team_name","Season",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid"
"166",4082,22,"Wed","5","PHOENIX MERCURY","2021",5167.51800281558,-1085.51800281558,0.0252774982721421,2473.60841261898,0.000183107260077567,-0.44463664147257
"167",3819,22,"Thu","6","PHOENIX MERCURY","2021",4830.5277556953,-1011.5277556953,0.0211115610345976,2473.63493984905,0.000131664578876542,-0.413447070410588
"168",3618,23,"Tue","6","PHOENIX MERCURY","2021",4220.18742873908,-602.187428739079,0.0203564368343021,2473.74436579079,4.49250274544443e-05,-0.246040360633848
"169",4261,22,"Fri","6","PHOENIX MERCURY","2021",4833.65910045187,-572.659100451868,0.0193958354781355,2473.75015878766,3.86342740674652e-05,-0.233861114301704
"170",4476,22,"Sun","6","PHOENIX MERCURY","2021",5164.3461110944,-688.346111094404,0.0189900108776962,2473.7260778354,5.46073974014596e-05,-0.281046941190038
"171",7304,22,"Sun","6","PHOENIX MERCURY","2021",5164.3461110944,2139.6538889056,0.0189900108776962,2473.04784785745,0.000527624321895143,0.873605837223689
"172",4122,22,"Wed","6","PHOENIX MERCURY","2021",5257.59166518058,-1135.59166518058,0.022559701297334,2473.59051314306,0.000177851140501846,-0.464500077358203
"173",8182,22,"Sat","7","PHOENIX MERCURY","2021",6408.12985216608,1773.87014783392,0.0244009452897787,2473.28153902956,0.000471158420930582,0.726264563620536
"174",7554,22,"Fri","7","PHOENIX MERCURY","2021",5692.54381097195,1861.45618902805,0.0215039661848336,2473.2303333117,0.0004545330481684,0.760995342820013
"175",7491,22,"Sun","8","PHOENIX MERCURY","2021",6116.95740969655,1374.04259030345,0.0196620236154208,2473.49219478212,0.000225598572269061,0.561204307447048
"176",4089,23,"Tue","8","PHOENIX MERCURY","2021",5172.79872734123,-1083.79872734123,0.0208670914639646,2473.60991274386,0.000149325953349628,-0.442931459680072
"177",5113,24,"Thu","8","PHOENIX MERCURY","2021",6067.34835992331,-954.348359923309,0.0220369098904731,2473.65341068083,0.000122568544368318,-0.390260335916903
"178",5838,27,"Tue","8","PHOENIX MERCURY","2021",5741.21733859294,96.7826614070609,0.0219773005145535,2473.80281173169,1.25698760798473e-06,0.0395759918365293
"179",9811,28,"Sat","9","PHOENIX MERCURY","2021",7529.65040527523,2281.34959472477,0.0295398283126287,2472.93496235671,0.000953444934104522,0.93650844548688
"180",9724,27,"Sun","9","PHOENIX MERCURY","2021",7002.64672191071,2721.35327808929,0.0235009048195597,2472.57481986753,0.00106603174985524,1.11367306555613
"181",7167,26,"Fri","5","PHOENIX MERCURY","2022",8434.00804850392,-1267.00804850392,0.020506054269896,2473.53870874768,0.000200399547124172,-0.517710782589782
"182",6098,26,"Wed","5","PHOENIX MERCURY","2022",8857.94061323263,-2759.94061323263,0.024233452199299,2472.53874543793,0.00113235423465931,-1.12988824218356
"183",6151,27,"Thu","5","PHOENIX MERCURY","2022",8572.98135656029,-2421.98135656029,0.0234614791918566,2472.83055031795,0.000842903041317364,-0.991139582838198
"184",7180,22,"Fri","6","PHOENIX MERCURY","2022",7955.66309961721,-775.663099617208,0.0183203232908249,2473.70502424029,6.68034964384852e-05,-0.316589820005041
"185",10151,22,"Sun","6","PHOENIX MERCURY","2022",8286.35011025974,1864.64988974026,0.0177926818993109,2473.2305383488,0.00037453213026264,0.760859437111534
"186",7650,22,"Fri","6","PHOENIX MERCURY","2022",7955.66309961721,-305.663099617208,0.0183203232908249,2473.78893797627,1.03738259343982e-05,-0.124757547107436
"187",6394,23,"Tue","6","PHOENIX MERCURY","2022",7342.19142790442,-948.19142790442,0.019324541803266,2473.65576434508,0.000105513988181874,-0.387206006692011
"188",5044,22,"Mon","6","PHOENIX MERCURY","2022",8188.01894278953,-3144.01894278953,0.0639540459908808,2472.09213580518,0.00421408595771502,-1.31415104098858
"189",5833,22,"Wed","6","PHOENIX MERCURY","2022",8379.59566434592,-2546.59566434592,0.0215985180441819,2472.7297923032,0.000854612298730863,-1.04114246176877
